market,opening_price,trade_price,high_price,low_price,candle_acc_trade_volume,candle_date_time_kst
KRW-XRP,791.4,789.8,792.5,789.7,797569.12613156,2024-09-14T22:50:00
KRW-XRP,789.9,791.4,791.9,789.5,798774.86435113,2024-09-14T22:45:00
KRW-XRP,789.8,789.3,790.3,788.9,289252.58326465,2024-09-14T22:40:00
KRW-ETC,25040.0,25040.0,25040.0,25030.0,320.75208907,2024-09-14T22:50:00
KRW-ETC,25010.0,25040.0,25040.0,25010.0,392.50013487,2024-09-14T22:45:00
KRW-ETC,25040.0,25010.0,25040.0,25010.0,600.97875544,2024-09-14T22:40:00
KRW-SNT,29.72,29.94,30.06,29.64,2641827.62322573,2024-09-14T22:50:00
KRW-SNT,29.81,29.72,29.81,29.68,16741.0020101,2024-09-14T22:45:00
KRW-SNT,29.77,29.79,29.8,29.67,678022.58221323,2024-09-14T22:40:00
KRW-WAVES,1404.0,1404.0,1404.0,1403.0,18236.43215361,2024-09-14T22:50:00
KRW-WAVES,1407.0,1404.0,1407.0,1404.0,262.12876333,2024-09-14T22:45:00
KRW-WAVES,1404.0,1407.0,1407.0,1403.0,1965.79562934,2024-09-14T22:40:00
KRW-XEM,24.62,24.63,24.65,24.56,580300.32433359,2024-09-14T22:50:00
KRW-XEM,24.54,24.63,24.63,24.45,1297885.46114919,2024-09-14T22:45:00
KRW-XEM,24.62,24.55,24.62,24.43,1919955.37245905,2024-09-14T22:40:00
KRW-QTUM,3127.0,3127.0,3127.0,3127.0,145.04577655,2024-09-14T22:50:00
KRW-QTUM,3124.0,3120.0,3128.0,3119.0,1670.94414199,2024-09-14T22:45:00
KRW-QTUM,3123.0,3124.0,3124.0,3118.0,11557.99548833,2024-09-14T22:40:00
KRW-LSK,1080.0,1083.0,1083.0,1080.0,3371.74196551,2024-09-14T22:45:00
KRW-LSK,1080.0,1080.0,1080.0,1080.0,23.15831927,2024-09-14T22:40:00
KRW-LSK,1083.0,1083.0,1083.0,1083.0,646.35272391,2024-09-14T22:25:00
KRW-STEEM,230.5,230.5,230.5,230.5,1061.60709441,2024-09-14T22:45:00
KRW-STEEM,230.5,230.0,230.5,230.0,114.71998498,2024-09-14T22:30:00
KRW-STEEM,230.6,230.6,230.6,230.6,594.30615784,2024-09-14T22:05:00
KRW-XLM,130.5,130.5,130.8,130.5,2548.59572109,2024-09-14T22:50:00
KRW-XLM,130.5,130.5,130.7,130.4,42234.24842921,2024-09-14T22:45:00
KRW-XLM,130.4,130.3,130.4,130.3,62400.86664323,2024-09-14T22:40:00
KRW-ARDR,88.4,88.4,88.4,88.4,4400.0,2024-09-14T22:50:00
KRW-ARDR,88.38,88.38,88.38,88.38,1150.0,2024-09-14T22:35:00
KRW-ARDR,88.4,88.4,88.4,88.4,226.24434388,2024-09-14T22:30:00
KRW-ARK,423.9,423.2,423.9,423.2,6181.97802287,2024-09-14T22:35:00
KRW-ARK,425.0,425.0,425.0,425.0,422.30799998,2024-09-14T22:30:00
KRW-ARK,424.5,424.5,424.5,424.5,200.0,2024-09-14T22:20:00
